0B0X,0B0Y,0B0Z,0B1X,0B1Y,0B1Z,0B2X,0B2Y,0B2Z,0B3X,0B3Y,0B3Z,0B4X,0B4Y,0B4Z,0B5X,0B5Y,0B5Z,0B6X,0B6Y,0B6Z,0B7X,0B7Y,0B7Z,0B8X,0B8Y,0B8Z,0B9X,0B9Y,0B9Z,0B10X,0B10Y,0B10Z,0B11X,0B11Y,0B11Z,0B12X,0B12Y,0B12Z,0B13X,0B13Y,0B13Z,0B14X,0B14Y,0B14Z,0B15X,0B15Y,0B15Z
33019,32918,13327,32810,32786,13475,32946,32905,13345,32916,32818,13153,32807,32861,13167,32806,33154,13032,33028,33046,13557,32764,32842,13022,32903,32823,13435,33021,32890,13300,32893,32904,13527,32890,33033,13484,32864,32919,13175,32848,32958,13070,32898,32789,13132,32884,32843,13276
33019,32918,13327,32807,32792,13498,32946,32902,13331,32912,32819,13138,32802,32856,13143,32805,33153,13014,33030,33053,13558,32763,32850,13036,32903,32819,13401,33022,32892,13288,32897,32910,13537,32891,33047,13481,32864,32921,13165,32850,32951,13044,32894,32791,13113,32883,32847,12518
33015,32917,13293,32809,32793,13479,32949,32899,13332,32914,32819,13174,32811,32858,13138,32808,33151,13044,33028,33047,13565,32764,32842,13047,32905,32819,13415,33022,32893,13333,32894,32911,13503,32889,33048,13476,32863,32908,13203,32847,32951,13062,32892,32782,13114,32883,32851,13279
33017,32920,13315,32812,32785,13469,32946,32900,13332,32914,32814,13172,32805,32852,13160,32809,33159,13030,33029,33048,13556,32764,32842,13047,32907,32823,13431,33023,32897,13332,32894,32902,13527,32892,33045,13496,32868,32919,13188,32851,32954,13064,32894,32790,13107,32881,32839,13254
33020,32911,13324,32809,32789,13449,32944,32897,13325,32911,32811,13172,32805,32850,13124,32806,33150,13039,33028,33050,13552,32764,32849,13047,32901,32830,13430,33020,32895,13313,32893,32898,13539,32893,33043,13520,32864,32912,13177,32853,32954,13051,32894,32781,13130,32884,32844,13269
33021,32910,13293,32811,32796,13469,32947,32899,13329,32917,32817,13153,32806,32858,13152,32805,33149,13065,33030,33049,13536,32764,32844,13040,32905,32831,13412,33022,32888,13316,32894,32907,13526,32893,33045,13479,32864,32918,13179,32848,32954,13057,32896,32786,13102,32880,32844,13269
33013,32919,13329,32810,32793,13462,32941,32891,13333,32917,32821,13138,32804,32857,13132,32803,33147,13023,33029,33044,13579,32768,32839,13055,32900,32823,13398,33024,32902,13307,32895,32906,13521,32889,33038,13494,32862,32921,13150,32845,32948,13070,32894,32786,13103,32881,32847,13278
33016,32922,13322,32804,32795,13473,32945,32898,13329,32914,32809,13171,32804,32851,13134,32806,33150,13034,33026,33052,13557,32764,32845,13039,32904,32828,13396,33028,32896,13322,32895,32892,13529,32886,33042,13499,32860,32918,13191,32847,32948,13072,32898,32784,13128,32884,32845,13275
33017,32921,13307,32807,32797,13462,32947,32905,13343,32918,32816,13169,32806,32858,13153,32808,33148,13056,33027,33049,13584,32762,32837,13041,32902,32823,13409,33022,32900,13326,32899,32899,13529,32892,33047,13470,32864,32917,13169,32848,32951,13062,32893,32786,13121,32880,32850,13254
33018,32920,13293,32807,32799,13466,32948,32897,13322,32916,32814,13160,32804,32862,13165,32805,33146,12969,33025,33051,13563,32763,32838,13059,32902,32823,13404,33020,32901,13317,32893,32903,13506,32887,33034,13513,32863,32912,13171,32848,32955,13042,32895,32779,13137,32885,32838,13279
